created_at,lt,lb,kt,km,garasi,carport,lokasi,sertifikat,listrik,hadap,harga,url,deskripsi,kota
2021-12-06,60,30,2,1,0,1,Parung,SHGB,1300.0,,241000000,https://www.rumah.com/listing-properti/dijual-rumah-tanpa-dp-di-parung-oleh-rudy-junaedy-19181221,Rumah tanpa dp dan siap huni,Bogor
2021-12-06,66,36,2,1,0,1,Gunungsindur,SHM,1300.0,,390000000,https://www.rumah.com/listing-properti/dijual-alfalah-4-rawakalong-oleh-syarifuddin-arif-17454354,"Bebas banjir, dekat dengan falitas-fasilitas umum",Bogor
2021-12-06,60,36,2,1,0,1,Gunungsindur,SHM,1300.0,,379000000,https://www.rumah.com/listing-properti/dijual-felicia-residence-rawakalong-oleh-syarifuddin-arif-19336237,"sebelah SPBU rawa kalong, akses jalan bisa masuk 2 mobil, lintas angkot Parung-BSD",Bogor
2021-12-06,314,300,4,4,1,7,Bogor Timur,SHM,3500.0,,2900000000,https://www.rumah.com/listing-properti/dijual-rumah-mewah-harga-bagus-siap-huni-di-kawasan-premium-dan-strategis-di-jantung-kota-bogor-oleh-raffi-rolando-sinaga-19394698,"Taman+Gazebo, Selangkah ke Tol&Terminal Baranangsiang, Backyard",Bogor
2021-12-06,1272,500,4,5,0,2,Babakan Madang,SHM,5500.0,,15000000000,https://www.rumah.com/listing-properti/dijual-rumah-best-view-Babakan Madang-city-bogor-oleh-ahmad-supriyanto-15803712,Rumah best view,Bogor
2021-12-06,90,72,3,2,0,1,Bogor Barat,SHM,2200.0,,800000000,https://www.rumah.com/listing-properti/dijual-rumah-di-bogor-fasilitas-exclusive-oleh-yolanda-lanes-19384242,"Taman bermain anak, Ruang terbuka hijau tematik, double gate security system",Bogor
2021-12-06,90,48,2,2,0,1,Bogor Barat,SHGB,2200.0,,600000000,https://www.rumah.com/listing-properti/dijual-termurah-lt-90-harga-600jt-oleh-yolanda-lanes-17774065,"10 menit MCD Yasmin, rumah cantik konsep bali",Bogor
2021-12-06,338,250,4,3,0,2,Babakan Madang,SHM,3500.0,,3700000000,https://www.rumah.com/listing-properti/dijual-rumah-siap-huni-Babakan Madang-city-oleh-ahmad-supriyanto-16131852,"Dekat dengan view golf, dekat sekolah, beberapa menit ke gerbang toll Babakan Madang",Bogor
2021-12-06,62,43,2,1,0,1,Gunung Putri,SHM,1300.0,,460000000,https://www.rumah.com/listing-properti/dijual-cluster-chiara-3-harga-murah-lokasi-gunung-asih-bogor-ready-stock-siap-huni-oleh-sadrach-bagas-19394687,"20 menit dari tol Jatiasih, bebas banjir, CCTV 24 jam",Bogor
2021-12-06,60,40,2,1,0,1,Gunung Putri,SHM,2200.0,,880000000,https://www.rumah.com/listing-properti/dijual-the-lagoon-park-oleh-nova-tiara-19284218,"5 menit ke tol cimanggis, 10 menit ke stasiun LRT Cimanggis, 15 menit ke RS permata cibubur",Bogor
2021-12-06,196,170,3,3,1,1,Babakan Madang,SHM,2200.0,,2100000000,https://www.rumah.com/listing-properti/dijual-la-vanoise-village-oleh-nova-tiara-19178822,"10 menit ke AEON Mall Babakan Madang, 12 menit ke pintu Tol Babakan Madang Selatan, 30 menit ke Kebun Raya Bogor",Bogor
2021-12-06,72,47,2,1,0,1,Parung,SHGB,2200.0,,760000000,https://www.rumah.com/listing-properti/dijual-keila-gdc-parung-oleh-nova-tiara-19250508,"Free Canopy, Smart Door Lock, Smart Home System",Bogor
2021-12-06,120,125,3,3,2,0,Babakan Madang,SHGB,2200.0,,1946600000,https://www.rumah.com/listing-properti/dijual-rumah-di-Babakan Madang-bogor-dekat-tol-stasiun-lrt-murah-modern-minimalis-tipe-agra-prime-125-120-oleh-asa-pertiwi-19057296,"Dekat tol dan stasiun LRT Babakan Madang, Fasilitas lengkap, DP 0-50%",Bogor
2021-12-06,167,300,4,3,2,0,Gunung Putri,SHM,5500.0,Utara/Timur,3200000000,https://www.rumah.com/listing-properti/dijual-cibubur-country-cluster-moonlake-oleh-nova-tiara-19158972,"Dekat Water Splash CIbubur Country, 10 menit ke Mal CIputra CIbubur, 12 Menit ke Gerbang Tol Jatikarya, 15 menit ke Trans Studio Cibubur",Bogor
2021-12-06,72,33,2,1,0,1,Gunung Putri,SHM,2200.0,,574600000,https://www.rumah.com/listing-properti/dijual-rumah-villa-murah-di-cikeas-gunung-putri-bogor-jawa-barat-oleh-dk-sari-18718726,"Lokasi strategis, one gate system, smart door lock, club house, kolam renang, CCTV 24 jam",Bogor
2021-12-06,60,70,2,2,0,1,Gunung Putri,SHM,2200.0,,916000000,https://www.rumah.com/listing-properti/dijual-kota-wisata-cibubur-oleh-dk-sari-18329132,"Lokasi strategis dekat TOL, one gate system, keamanan 24 jam",Bogor
2021-12-06,60,40,1,1,0,1,Babakan Madang,SHM,2200.0,,810000000,https://www.rumah.com/listing-properti/dijual-adhi-city-Babakan Madang-oleh-nova-tiara-19283860,"Lokasi strategis, fasilitas lengkap, keamanan 24 jam",Bogor
2021-12-06,200,202,5,5,2,2,Gunung Putri,SHM,4400.0,Utara/Selatan,3128000000,https://www.rumah.com/listing-properti/dijual-cluster-miami-kota-wisata-cibubur-i-10x20-oleh-dk-sari-18289050,"One gate system, keamanan 24 jam, fasilitas lengkap",Bogor
2021-12-06,84,75,2,1,0,1,Tanah Sareal,SHM,2200.0,,810000000,https://www.rumah.com/listing-properti/dijual-kayu-manis-residence-oleh-nova-tiara-19265836,"Lokasi strategis, fasilitas taman, keamanan 24 jam",Bogor
2021-12-06,162,164,5,5,0,2,Gunung Putri,SHM,3500.0,Utara,2536000000,https://www.rumah.com/listing-properti/dijual-kota-wisata-cibubur-i-cluster-miami-lebar-8-oleh-dk-sari-18289350,"Fasilitas lengkap , dekat dengan fasilitas komersial (fresh market, starbucks, burger king, mcdonalds, dll)",Bogor
2021-12-07,72,65,3,2,0,1,Cileungsi,SHM,1300.0,,750000000,https://www.rumah.com/listing-properti/dijual-metland-cileungsi-cluster-anggrek-oleh-victor-17896713,Keamanan 24 jam,Bogor
2021-12-07,200,260,4,4,1,1,Gunung Putri,SHM,4400.0,,2975000000,https://www.rumah.com/listing-properti/dijual-rumah-cantik-siap-huni-kota-wisata-bogor-oleh-sancoyo-16817542,"Rumah siap huni, lokasi strategis",Bogor
2021-12-07,72,36,2,1,0,1,Bogor Barat,SHM,1300.0,,350000000,https://www.rumah.com/listing-properti/dijual-dramaga-village-oleh-praba-rini-19366917,"Keamanan 24 jam, area bermain, trek lari, lapangan terbuka, taman pribadi, pemandangan hijau",Bogor
2021-12-07,60,39,2,1,0,1,Parung,SHGB,2200.0,,670000000,https://www.rumah.com/listing-properti/dijual-grand-duta-city-oleh-nova-tiara-19191297,"Keamanan 24 jam, area bermain, taman pribadi, pemandangan hijau",Bogor
2021-12-07,112,169,5,5,0,2,Gunung Putri,SHM,3500.0,,2128000000,https://www.rumah.com/listing-properti/dijual-kota-wisata-cluster-mississippi-promo-kpr-tanpa-dp-oleh-dk-sari-19258975,Fasilitas lengkap,Bogor
2021-12-07,30,25,1,1,0,1,Cibinong,SHM,1300.0,,130000000,https://www.rumah.com/listing-properti/dijual-cibinong-oleh-arief-priyono-19361394,"Lokasi strategis, keamanan 24 jam, arena bermain, dekat TOL, stasiun dan sekolah, terdapat klinik kesehatan",Bogor
2021-12-07,162,100,3,2,0,1,Gunung Putri,SHM,1300.0,,1250000000,https://www.rumah.com/listing-properti/dijual-bukit-golf-riverside-cluster-riverside-1-oleh-togi-m-siahaan-18429186,"Fasilitas kawasan hijau, lapangan golf, pertokoan, dekat dengan Tol Cimanggis",Bogor
2021-12-07,128,170,4,3,0,1,Gunung Putri,Lainnya,2200.0,,1450000000,https://www.rumah.com/listing-properti/dijual-kota-wisata-oleh-togi-m-siahaan-18428970,"Akses Toll JORR II, dekat rumah sakit Eka Hospital, Mall Living World, tempat ibadah, sekolah, perbelanjaan",Bogor
2021-12-07,120,200,4,3,0,1,Gunung Putri,Lainnya,2200.0,,1500000000,https://www.rumah.com/listing-properti/dijual-kota-wisata-oleh-togi-m-siahaan-18428937,"Akses Toll JORR II, dekat rumah sakit Eka Hospital, Mall Living World, tempat ibadah, sekolah, perbelanjaan",Bogor
2021-12-07,140,170,4,3,0,2,Gunung Putri,SHM,4400.0,,1850000000,https://www.rumah.com/listing-properti/dijual-rumah-siap-huni-tanah-luas-bangunan-lega-oleh-nano-18432385,"Lokasi strategis, akses bebas banjir, dekat dengan banyak pusat perbelanjaan, lokasi rumah dalam komplek",Bogor
2021-12-07,98,49,2,1,0,1,Bogor Utara,SHM,5500.0,,840950000,https://www.rumah.com/listing-properti/dijual-vinca-village-oleh-hizkia-nathaniel-19264795,"500 m dari pintu toll, keamanan 24 jam",Bogor
2021-12-07,120,160,5,3,0,1,Cileungsi,SHM,2200.0,Barat,1250000000,https://www.rumah.com/listing-properti/dijual-rumah-di-limus-pratama-regency-oleh-janni-kurniawan-18893896,"Rumah siap huni, bebas banjir, fasilitas lengkap, lokasi strategis",Bogor
2021-12-07,60,39,2,1,0,1,Parung,SHM,1300.0,,670000000,https://www.rumah.com/listing-properti/dijual-grand-duta-city-oleh-wina-kusniarti-19388909,"Keamanan 24 jam, 8 menit via Tol Bojong Gede",Bogor
2021-12-07,60,36,2,1,0,1,Gunung Putri,SHM,1300.0,,399000000,https://www.rumah.com/listing-properti/dijual-perumahan-dp-0-akad-syariah-andalusia-residence-di-tengah-kota-cibubur-oleh-sani-18746486,"Perumahan dengan akad syariah, dekat dengan Tol Cimanggis, Rumah Sakit Permata, sekolah, mall, dan pusat kuliner",Bogor
2021-12-07,70,40,2,1,0,2,Cibinong,SHM,1300.0,,456000000,https://www.rumah.com/listing-properti/dijual-dijual-rumah-tepi-danau-citeureup-cibinong-bogor-dekat-pintu-tol-400-jutaan-oleh-agus-razali-18979590,"Keamanan 24 jam, dekat dengan Tol Citeureup, sekolah, Rumah Sakit Annisa dan Centra Medika",Bogor
2021-12-07,60,37,2,1,0,1,Parung,SHM,1300.0,,397223000,https://www.rumah.com/listing-properti/dijual-arco-green-park-parung-oleh-adi-cano-18659205,"Terdapat ruang terbuka hijau, dekat dengan pasar tradisional",Bogor
2021-12-07,72,55,3,2,0,1,Parung,SHM,2200.0,,551834000,https://www.rumah.com/listing-properti/dijual-dijual-rumah-keren-2-lantai-500an-juta-di-arco-oleh-adi-cano-19117770,"Keamanan 24 jam, di dalam cluster terdapat mushola dan taman bermain anak",Bogor
2021-12-07,72,36,2,1,0,1,Gunung Putri,SHM,1300.0,,485000000,https://www.rumah.com/listing-properti/dijual-taman-darul-adnen-ciangsana-gunung-putri-bogor-oleh-muhammad-faqihuddin-19329327,"Berada di komplek TNI AL, dekat dengan pusat perbelanjaan dan rumah sakit Melia Cibubur",Bogor
2021-12-07,72,47,2,2,0,1,Parung,SHM,1300.0,,600000000,https://www.rumah.com/listing-properti/dijual-grand-parung-oleh-esa-husnul-19372482,"Lokasi strategis, dekat dengan tol, konsep township modern, fasilitas lengkap",Bogor
2021-12-07,60,39,2,1,0,1,Parung,SHM,1300.0,,600000000,https://www.rumah.com/listing-properti/dijual-metro-parung-oleh-esa-husnul-19372448,"Lokasi strategis, dekat dengan tol, konsep township modern, fasilitas lengkap",Bogor
2021-12-07,72,43,2,1,0,1,Gunungsindur,SHGB,1300.0,,715000000,https://www.rumah.com/listing-properti/dijual-rawakalong-gunung-sindur-bogor-oleh-fransisco-19130075,"Keamanan 24 jam, dekat dengan Rumah Sakit Hermina, Universitas Pamulang, dan Pusat Kuliner Bukit Dago",Bogor
2021-12-07,60,30,2,1,0,1,Parung Panjang,SHM,1300.0,,378990000,https://www.rumah.com/listing-properti/dijual-citaville-parung-panjang-bogor-oleh-fransisco-19340449,"Dekat dengan Stasiun Parung Panjang dan pusat perbelanjaan (AEON mall, Gading Serpong, Karawaci)",Bogor
2021-12-07,105,36,2,1,0,1,Jonggol,SHGB,1300.0,,456000000,https://www.rumah.com/listing-properti/dijual-citra-indah-oleh-agih-bia-bagus-r-19396300,"Lokasi strategis, keamanan 24 jam",Bogor
2021-12-07,60,36,2,1,0,1,Bojonggede,SHM,1300.0,,368000000,https://www.rumah.com/listing-properti/dijual-5-menit-rs-citama-khusus-cash-keras-diskon-100-juta-free-biaya-notaris-shm-oleh-faqih-18664161,Lokasi strategis dengan lembaga pendidikan dan stasiun,Bogor
